,Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr)
Age (Ma),min,mean,max
3,6.7,6.73,6.73
4,6.7187,6.760157368,6.751055409
5,6.7612,6.808798283,6.801187335
6,6.8037,6.857439199,6.851319261
7,6.8462,6.906080114,6.901451187
8,6.89450116,6.95472103,6.951583113
9,6.950185615,7.003361946,7.00171504
10,7.00587007,7.052002861,7.051846966
11,7.061554524,7.106346154,7.101978892
12,7.116793785,7.164038462,7.156840149
13,7.169053672,7.221730769,7.21260223
14,7.221313559,7.279423077,7.268364312
15,7.273573446,7.337115385,7.324126394
16,7.325833333,7.394807692,7.379888476
17,7.37809322,7.461937173,7.439124767
18,7.430353107,7.53,7.502439479
19,7.483156997,7.598062827,7.56575419
20,7.546296928,7.666125654,7.629068901
21,7.60943686,7.734188482,7.692383613
22,7.672576792,7.80055794,7.7556917
23,7.735716724,7.859213162,7.818932806
24,7.798856655,7.917868383,7.882173913
25,7.863571429,7.976523605,7.94541502
26,7.935,8.035178827,8.008656126
27,8.006428571,8.093834049,8.072531646
28,8.077857143,8.15248927,8.156919831
29,8.149285714,8.217170923,8.241308017
30,8.220714286,8.307544204,8.325696203
31,8.292251521,8.397917485,8.410084388
32,8.367302231,8.488290766,8.496107056
33,8.442352941,8.578664047,8.586131387
34,8.517403651,8.669662921,8.676155718
35,8.592454361,8.766292135,8.766180049
36,8.672195122,8.862921348,8.859421053
37,8.794146341,8.959550562,8.967315789
38,8.916097561,9.056179775,9.075210526
39,9.029189189,9.185039164,9.183105263
40,9.137297297,9.331253264,9.311621622
41,9.245405405,9.477467363,9.473783784
42,9.353513514,9.623681462,9.630631579
43,9.502014388,9.771194969,9.759578947
44,9.653093525,9.918993711,9.888526316
45,9.808705882,10.06679245,10.01747368
46,9.988117647,10.21691906,10.17135135
47,10.16752941,10.36835509,10.36954955
48,10.34694118,10.51979112,10.56119874
49,10.49447439,10.67122715,10.7126183
50,10.6319407,10.84727273,10.86403785
51,10.76940701,11.02909091,11.01545741
52,10.90779412,11.21090909,11.18217666
53,11.06367647,11.37900524,11.34936909
54,11.21955882,11.5386911,11.51656151
55,11.37544118,11.69837696,11.68524355
56,11.62919355,11.85806283,11.85429799
57,11.86318919,12.03043887,12.02335244
58,11.99291892,12.20598746,12.18987382
59,12.12264865,12.38153605,12.3507571
60,12.25237838,12.55193211,12.51164038
61,12.40210526,12.71903394,12.67496503
62,12.56,12.88613577,12.85328671
63,12.72566802,13.0532376,13.03160839
64,12.91595142,13.19318386,13.1962069
65,13.10623482,13.32547085,13.32551724
66,13.26462783,13.45775785,13.45482759
67,13.41349515,13.59004484,13.58413793
68,13.56236246,13.72017937,13.71804598
69,13.69419048,13.84573991,13.85310345
70,13.818,13.97130045,13.98816092
71,13.94180952,14.09686099,14.11531532
72,14.06561905,14.22242152,14.22567568
73,14.18942857,14.33968566,14.33603604
74,14.31972222,14.45559921,14.4463964
75,14.45861111,14.57151277,14.55675676
76,14.5975,14.68742633,14.68139241
77,14.73638889,14.80333988,14.80797468
78,14.87145833,14.92360784,14.93455696
79,14.975625,15.04517647,15.05737864
80,15.07979167,15.1667451,15.17873786
81,15.18395833,15.28831373,15.30009709
82,15.288125,15.40988235,15.42145631
83,15.41240741,15.53412556,15.53636569
84,15.54203704,15.6596861,15.64697517
85,15.67166667,15.78524664,15.75758465
86,15.8012963,15.91080717,15.86819413
87,15.91954054,16.03265169,15.98002874
88,16.02494595,16.14051685,16.09784483
89,16.13035135,16.24838202,16.21566092
90,16.23575676,16.35624719,16.33347701
91,16.3325,16.46411236,16.42810526
92,16.42665584,16.55719057,16.51231579
93,16.52081169,16.64559921,16.59652632
94,16.60729242,16.73400786,16.68073684
95,16.69032491,16.8224165,16.76494737
96,16.7733574,16.91082515,16.84776156
97,16.85280576,16.96952781,16.93048662
98,16.93194245,17.01359916,17.01321168
99,17.00808664,17.05767051,17.09593674
100,17.06584838,17.10174187,17.13989914
101,17.12361011,17.14581322,17.17592219
102,17.17376744,17.18988458,17.21194524
103,17.21097674,17.23395593,17.2479683
104,17.24818605,17.27802728,17.28399135
105,17.28539535,17.32209864,17.32001441
106,17.31739535,17.35503285,17.35603746
107,17.28018605,17.31955322,17.33474124
108,17.24297674,17.28407359,17.3063606
109,17.20576744,17.24859396,17.27797997
110,17.16855814,17.21311432,17.24959933
111,17.10978261,17.17763469,17.2212187
112,17.04456522,17.14215506,17.19283806
113,16.97913043,17.10667543,17.1249711
114,16.89217391,17.05051919,17.05271676
115,16.80521739,16.97602709,16.98046243
116,16.72097826,16.90153499,16.90391534
117,16.6448913,16.82704289,16.82190476
118,16.56880435,16.74860759,16.73989418
119,16.4873913,16.63468354,16.6578836
120,16.40043478,16.52075949,16.56705202
121,16.31347826,16.40683544,16.4716763
122,16.2184898,16.31512415,16.37630058
123,16.12053061,16.2248307,16.28208092
124,16.01652174,16.13453725,16.19248555
125,15.89695652,16.04424379,16.10289017
126,15.7964,15.95625282,16.0132948
127,15.72003636,15.87047404,15.92724382
128,15.64367273,15.78469526,15.84243816
129,15.545,15.69891648,15.75763251
130,15.43630435,15.61404063,15.69222222
131,15.33222826,15.53954853,15.62873016
132,15.22921824,15.46505643,15.5652381
133,15.15104235,15.39056433,15.50174603
134,15.07286645,15.31607223,15.45589065
135,14.99469055,15.2666858,15.42767196
136,14.94213849,15.23081779,15.39945326
137,14.891222,15.19494978,15.37123457
138,14.8403055,15.15908178,15.34301587
139,14.789389,15.12321377,15.31479718
140,14.73918478,15.08734577,15.33632135
141,14.71201087,15.05147776,15.36803383
142,14.68483696,15.05287066,15.3997463
143,14.65766304,15.07179811,15.43145877
144,14.63048913,15.09072555,15.46596491
145,14.60331522,15.109653,15.52561404
146,14.58321006,15.12858044,15.58526316
147,14.56989645,15.14750789,15.64740506
148,14.55658284,15.1706993,15.71702532
149,14.54326923,15.20216783,15.78664557
150,14.52995562,15.23363636,15.86054054
151,14.51664201,15.2651049,15.97765766
152,14.5033284,15.29657343,16.09477477
153,14.49476744,15.32804196,16.1787747
154,14.4877907,15.36440945,16.25782609
155,14.48081395,15.40377953,16.34359684
156,14.47383721,15.44314961,16.44241107
157,14.46686047,15.48251969,16.5412253
158,14.45988372,15.52188976,16.63363636
159,14.45290698,15.56125984,16.72454545
160,14.44593023,15.59686441,16.80994723
161,14.4372093,15.62228814,16.88118734
162,14.41860465,15.64771186,16.95242744
163,14.4,15.67313559,17.02366755
164,14.38139535,15.69855932,17.08956897
165,14.3627907,15.72398305,17.14991379
166,14.34418605,15.74940678,17.21025862
167,14.3255814,15.77483051,17.27023055
168,14.29069767,15.79966825,17.2932853
169,14.24883721,15.76649289,17.31634006
170,14.20697674,15.73331754,17.33939481
171,14.16511628,15.70014218,17.33755043
172,14.11717391,15.66696682,17.31449568
173,14.0601087,15.63379147,17.29144092
174,14.00304348,15.60061611,17.26441489
175,13.94597826,15.52564669,17.18462766
176,13.86543478,15.43100946,17.10115079
177,13.77576087,15.33637224,17.00194444
178,13.68608696,15.24269231,16.9027381
179,13.59568627,15.14993213,16.7737766
180,13.48784314,15.05717195,16.63015957
181,13.38,14.96441176,16.45910828
182,13.27215686,14.86363636,16.28501767
183,13.15658754,14.68181818,16.12600707
184,13.04086053,14.5,15.96699647
185,12.92513353,14.33466667,15.79117021
186,12.81121662,14.18228571,15.58904255
187,12.69845697,14.02990476,15.40319149
188,12.58569733,13.88031646,15.23297872
189,12.47019608,13.73474684,15.04265957
190,12.34601307,13.58917722,14.84053191
191,12.22183007,13.44756329,14.64638298
192,12.10077151,13.31781646,14.45489362
193,11.99394659,13.18806962,14.26390909
194,11.88712166,13.055,14.073
195,11.78029674,12.88833333,13.86826923
